Fecha,Temperatura,Humedad
2017-01-01,15.91304347826090,85.8695652173913
2017-01-02,18.5,77.22222222222220
2017-01-03,17.11111111111110,81.88888888888890
2017-01-04,18.7,70.05
2017-01-05,18.38888888888890,74.94444444444440
2017-01-06,19.318181818181800,79.31818181818180
2017-01-07,14.708333333333300,95.83333333333330
2017-01-08,15.68421052631580,83.52631578947370
2017-01-09,14.571428571428600,80.80952380952380
2017-01-10,12.11111111111110,71.94444444444440
2017-01-11,11.0,72.11111111111110
2017-01-12,11.789473684210500,74.57894736842110
2017-01-13,13.235294117647100,67.05882352941180
2017-01-14,13.2,74.28
2017-01-15,16.434782608695700,72.56521739130430
2017-01-16,14.65,78.45
2017-01-17,11.722222222222200,84.44444444444440
2017-01-18,13.041666666666700,78.33333333333330
2017-01-19,14.619047619047600,75.14285714285710
2017-01-20,15.263157894736800,66.47368421052630
2017-01-21,15.391304347826100,70.8695652173913
2017-01-22,18.44,76.24
2017-01-23,18.11764705882350,76.0
2017-01-24,18.347826086956500,68.1304347826087
2017-01-25,21.0,69.96
2017-01-26,16.178571428571400,91.64285714285710
2017-01-27,16.5,77.04166666666670
2017-01-28,14.863636363636400,82.77272727272730
2017-01-29,15.666666666666700,81.77777777777780
2017-01-30,16.444444444444400,77.55555555555560
2017-01-31,16.125,76.0
2017-02-01,15.25,78.625
2017-02-02,17.09090909090910,66.54545454545460
2017-02-03,15.636363636363600,78.18181818181820
2017-02-04,18.7,77.6
2017-02-05,18.63157894736840,77.63157894736840
2017-02-06,16.88888888888890,69.66666666666670
2017-02-07,15.125,63.75
2017-02-08,15.7,68.4
2017-02-09,15.375,68.375
2017-02-21,21.833333333333300,69.41666666666670
2017-02-22,19.125,57.125
2017-02-23,18.625,42.875
2017-02-24,19.125,40.375
2017-02-25,19.0,50.42857142857140
2017-02-26,18.75,59.0
2017-02-27,19.875,58.375
2017-02-28,23.333333333333300,51.666666666666700
2017-03-01,24.46153846153850,47.92307692307690
2017-03-02,23.75,54.25
2017-03-03,20.5,42.5
2017-03-04,19.125,43.125
2017-03-05,19.75,41.25
2017-03-06,20.0,42.44444444444440
2017-03-07,22.625,41.5
2017-03-08,21.545454545454500,52.72727272727270
2017-03-09,20.785714285714300,69.07142857142860
2017-03-10,19.9375,67.75
2017-03-11,18.533333333333300,60.4
2017-03-12,17.375,56.625
2017-03-13,17.444444444444400,49.333333333333300
2017-03-14,18.0,56.333333333333300
2017-03-15,19.875,54.75
2017-03-16,24.0,49.2
2017-03-17,20.9,59.7
2017-03-18,24.692307692307700,46.30769230769230
2017-03-19,24.666666666666700,52.27777777777780
2017-03-20,23.333333333333300,54.666666666666700
2017-03-21,25.0,49.0
2017-03-22,27.25,45.0
2017-03-23,28.0,49.75
2017-03-24,28.916666666666700,37.666666666666700
2017-03-25,26.5,39.375
2017-03-26,29.1,37.1
2017-03-27,29.5,38.625
2017-03-28,29.88888888888890,40.666666666666700
2017-03-29,31.0,34.5
2017-03-30,29.285714285714300,36.857142857142900
2017-03-31,30.625,37.625
2017-04-01,31.375,35.125
2017-04-02,29.75,33.75
2017-04-03,30.5,29.75
2017-04-04,30.933333333333300,31.866666666666700
2017-04-05,29.23076923076920,46.0
2017-04-06,31.22222222222220,26.0
2017-04-07,27.0,29.875
2017-04-08,25.625,29.375
2017-04-09,27.125,21.125
2017-04-10,27.857142857142900,19.428571428571400
