Numero,Municipio,Localidad,Nombre Localidad,Longitud,Latitud,Altitud,Población
1,Acatic,1,Acatic,1025419,204646,1693,11890
1,Acatic,2,Agua Prieta (Tepetates),1025331,204737,1735,107
1,Acatic,3,Alacates,1025103,204925,1794,10
1,Acatic,6,El Bajío de los Herrera,1025849,204344,1708,36
1,Acatic,9,Rancho Nuevo Calderón,1025619,204154,1630,215
1,Acatic,10,El Capadero (San Miguel de la Loza),1025217,204734,1717,27
1,Acatic,11,Carricillo,1025205,204612,1708,36
1,Acatic,12,Ceja de Ramblas,1025933,204342,1770,85
1,Acatic,13,Cofradía Grande,1025558,204657,1680,81
1,Acatic,14,El Colomo,1025727,204256,1690,124
1,Acatic,16,Las Coronillas,1025030,204238,1760,12
1,Acatic,18,La Charranga,1025349,204257,1764,25
1,Acatic,19,El Charco del Ahogado,1025904,204708,1657,6
1,Acatic,20,Chiquihuitillo,1025914,204444,1726,172
1,Acatic,21,El Chivatero,1025453,204028,1644,91
1,Acatic,22,La Estancia,1025842,204608,1677,17
1,Acatic,23,La Gallarda,1025746,204831,1699,12
1,Acatic,24,La Gazapera,1030109,204533,1744,87
1,Acatic,25,Las Huertas,1025518,205047,1294,1
1,Acatic,26,La Infamia,1025511,204535,1679,32
1,Acatic,27,Jagüey,1025947,204603,1684,33
1,Acatic,28,El Jaral,1025119,204742,1757,14
1,Acatic,29,Laguna Colorada,1024952,204533,1828,154
1,Acatic,30,La Leonera,1025436,204927,1723,20
1,Acatic,31,La Leonerita,1025315,204930,1770,21
1,Acatic,32,La Loma (La Giganta),1025330,204633,1725,51
1,Acatic,33,Los Llanitos,1030125,204514,1778,161
1,Acatic,34,Miraflores,1025056,204300,1768,11
1,Acatic,35,Monte Largo,1025029,204437,1820,55
1,Acatic,36,Las Motas,1025059,204426,1826,286
1,Acatic,37,La Nopalera,1025657,204702,1670,35
1,Acatic,38,El Ocotillo,1025815,204551,1680,11
1,Acatic,39,Ojo de Agua del Colomo (La Campana),1024956,204922,1787,36
1,Acatic,40,Ojo de Agua de Verdum,1025021,205049,1908,41
1,Acatic,41,Palo Solo,1025322,204201,1734,9
1,Acatic,42,Las Paredes,1025401,204825,1747,22
1,Acatic,43,Piedra Amarilla,1025529,204311,1736,80
1,Acatic,44,Las Pilas,1030056,204452,1760,38
1,Acatic,45,Pozo del Llano,1025516,204704,1683,3
1,Acatic,46,La Providencia (Crucero de Acatic),1025443,204324,1770,51
1,Acatic,47,La Quinta,1025914,204608,1687,25
1,Acatic,48,El Ranchito,1025717,204513,1682,19
1,Acatic,49,Los Ranchitos,1025450,204813,1711,84
1,Acatic,50,Rancho Escondido,1025936,204651,1668,2
1,Acatic,52,Rancho Nuevo,1025323,204830,1769,18
1,Acatic,53,El Ranero,1025407,204802,1719,27
1,Acatic,54,El Refugio (Paredones),1025351,204336,1770,2425
1,Acatic,55,La Resolana,1025531,204429,1723,218
1,Acatic,56,El Rincón,1025406,205010,1733,14
1,Acatic,57,Saltillo de Arriba,1024935,204425,1810,55
1,Acatic,59,San Antonio,1025239,205000,1801,20
1,Acatic,60,San Antonio de Roa,1030005,204615,1673,25
1,Acatic,61,San Bartolo,1025124,204516,1830,30
1,Acatic,62,San Francisco,1025412,204402,1769,61
1,Acatic,63,Tierras Coloradas,1025139,204344,1770,1546
1,Acatic,66,Santa Rita,1030120,204612,1735,289
1,Acatic,67,El Sauz,1025624,204526,1679,51
1,Acatic,68,La Soledad,1024942,204451,1820,15
1,Acatic,69,Las Tablas,1030140,204536,1769,37
1,Acatic,70,El Tempisque,1030045,204616,1707,52
1,Acatic,71,El Tepamal,1025500,204146,1640,10
1,Acatic,72,El Tepame,1024931,204512,1820,84
1,Acatic,73,El Tepehuaje,1030017,204451,1741,53
1,Acatic,74,El Tepozán,1025425,204537,1680,38
1,Acatic,75,Tequililla,1025016,204747,1726,329
1,Acatic,76,Terrero,1025401,205026,1743,1
1,Acatic,78,El Tlalcoyote,1025814,204422,1712,24
1,Acatic,79,Las Trojes,1025209,204230,1770,90
1,Acatic,81,El Venado,1025636,204824,1674,12
1,Acatic,84,Las Víboras,1025443,204426,1728,46
1,Acatic,86,El Paraíso,1025035,204439,1820,28
1,Acatic,87,Terrerito,1024924,204803,1820,6
1,Acatic,88,Crucero Viejo Acatic,1025511,204301,1740,32
1,Acatic,94,San José,1025335,204449,1753,31
1,Acatic,102,Saltillo de Abajo,1024956,204327,1750,191
1,Acatic,104,Codornices,1025458,204301,1750,50
1,Acatic,106,La Sosa,1025502,205026,1517,2
1,Acatic,107,Agropecuaria Calderón,1025727,204208,1668,53
1,Acatic,108,Las Amapolas,1025309,204651,1741,7
1,Acatic,109,Los Dos Pilares,1025524,204640,1675,15
1,Acatic,111,Las Barranquitas,1024956,205033,1895,14
1,Acatic,112,La Calesa (Plan de Calderón),1025512,204207,1651,3
1,Acatic,114,Tepatitlán [Club Cazadores],1025454,204233,1709,4
1,Acatic,116,La Copetona,1025555,204540,1675,25
1,Acatic,118,La Esperanza,1025052,204443,1829,28
1,Acatic,119,GENPRO [La Lechonera],1025508,204157,1631,2
1,Acatic,120,Verde Valle [Granja],1025700,204220,1710,50
1,Acatic,121,El Refugio [Granja],1025313,204232,1758,6
1,Acatic,122,Ninguno [Granja Rancho Nuevo],1025323,204358,1770,7
1,Acatic,123,La Joya (Avícola la Joya),1025917,204131,1645,91
1,Acatic,126,La Majada,1030055,204658,1695,18
1,Acatic,129,La Ordeña,1025504,204210,1662,19
1,Acatic,131,El Pitahayo,1030014,204658,1687,20
1,Acatic,132,La Presa de la Joya,1025825,204247,1666,5
1,Acatic,135,El Saltillo,1025500,204718,1692,7
1,Acatic,138,Tierra Blanca,1025506,204151,1630,5
1,Acatic,139,Las Tortugas,1025810,204231,1678,41
1,Acatic,140,El Roble,1025034,205022,1868,5
1,Acatic,141,San Pablo,1024845,204950,1850,141
1,Acatic,142,Acatic (Colonia la Prepa),1025441,204739,1700,402
