Numero,Municipio,Localidad,Nombre Localidad,Longitud,Latitud,Altitud,Población
2,Acatlán de Juárez,1,Acatlán de Juárez,1033514,202517,1371,10461
2,Acatlán de Juárez,2,Bellavista,1033806,202601,1400,7163
2,Acatlán de Juárez,4,El Plan (El Cerrito),1033620,202503,1365,2673
2,Acatlán de Juárez,5,San José de los Pozos,1033412,202059,1350,848
2,Acatlán de Juárez,7,San Pedro Valencia,1033855,202814,1470,337
2,Acatlán de Juárez,8,El Colomo,1033457,202409,1364,12
2,Acatlán de Juárez,9,El Platanarillo,1033403,202433,1518,6
2,Acatlán de Juárez,10,Santa Ana [Estación],1033658,202446,1360,50
2,Acatlán de Juárez,13,Crucero de Bellavista,1033740,202502,1360,2
2,Acatlán de Juárez,15,Ex-Hacienda el Plan,1033637,202430,1359,5
2,Acatlán de Juárez,18,Loma del Panteón,1033540,202430,1360,11
2,Acatlán de Juárez,21,Los Castillos (Las Torrecillas),1033530,202307,1350,11
2,Acatlán de Juárez,25,Crucero de los Pozos,1033524,202100,1352,8
2,Acatlán de Juárez,27,El Durazno,1033445,202557,1464,19
2,Acatlán de Juárez,30,Fraccionamiento Maravillas,1033332,202558,1573,25
2,Acatlán de Juárez,34,La Magdalena (Casitas Blancas),1033606,202610,1417,25
2,Acatlán de Juárez,38,Los Pinos,1033337,202546,1559,2
2,Acatlán de Juárez,39,El Quelele,1033521,202353,1352,22
2,Acatlán de Juárez,41,Santa Ana Tres (Cresta Avícola),1033449,202446,1400,5
2,Acatlán de Juárez,42,La Soledad,1033504,202338,1350,7
2,Acatlán de Juárez,45,Tepetatitos,1033547,202828,1570,3
2,Acatlán de Juárez,46,Las Varas (Las Varitas),1033922,202743,1460,2
2,Acatlán de Juárez,47,Agua Zarca,1033506,202448,1376,14
2,Acatlán de Juárez,48,Las Alberquitas [Balneario],1033454,202514,1417,8
2,Acatlán de Juárez,53,Las Carretas,1033758,202533,1370,17
2,Acatlán de Juárez,56,Celso Espinoza,1033611,202555,1377,11
2,Acatlán de Juárez,58,Heliodoro Camacho,1033625,202531,1360,4
2,Acatlán de Juárez,62,Villa de los Niños,1033230,202424,1625,1490
